id,F_code,product,section,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RCPB0216,큰컵 크림까르보불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,"토코페롤혼합분말에스{덱스트린,d-토코페롤,시클로덱스트린,유화용전분믹스}",비타민B2,구연산,녹차풍미유,스프류,정제수,혼합전지분유,정백당,매운치즈소스,크림맛분말,그릴치킨농축액,치킨향분말,정제염,대두유,크림치즈탕시즈닝,하바네로맛시즈닝,모짜렐라치즈분말,양파,맛베이스에스,매운고추베이스분말,버터시즈닝분말,혼합치즈분말,마늘,고추씨향미유,변성전분,지미강화육수분말,파슬리후레이크,탈색칠리추출물,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,,스프류,정백당,혼합전지분유,삼양간장본,크림맛분말,정제수,그릴치킨농축액,치킨향분말,하바네로맛시즈닝,정제염,변성전분,대두유,모짜렐라치즈분말,버터시즈닝분말,양파,고추분,고추씨향미유,맛베이스에스,매운고추베이스분말,마늘,파슬리후레이크,지미강화육수분말,후추분,마늘분말,파프리카추출물,탈색칠리추출물,치킨카레맛베이스,유산균발효분말,,,,,,,,,,
2,RCPB0215,큰컵 치즈불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,매운치즈소스,삼양간장본,정백당,치킨향분말,대두유,하바네로맛시즈닝,양파,맛베이스에스,매운고추베이스분말,마늘,변성전분,지미강화육수분말,탈색칠리추출물,고추분,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,모짜렐라치즈분말,볶음참깨,구운김후레이크,,,,,,,,,,,,,,,
3,RCPS0604,큰컵 삼양라면 오리지널,면,소맥분,변성전분,팜유,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,부대찌개베이스,정제염,감칠맛베이스에스,정백당,비프조미분말,아미노산간장분말,양지맛무국베이스,햄맛분말,간장조미분말,마늘분말,베이컨향분말,후추분,향미증진제,매운조미고추맛분,파프리카추출물,대두유,양념간장분,지미강화베이스분말,이스트엑기스분말,청경채,햄맛후레이크,실당근,건파,,,,,,,,,,,,,,
4,RCPS0603,큰컵 삼양라면 매운맛,면,소맥분,변성전분,팜유,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,부대찌개베이스,정제염,정백당,햄맛분말,감자전분,청양고추시즈닝분말,마늘분말,매운고추베이스분말,베이컨향분말,부대찌개분말,양지맛무국베이스,후추분,잔탄검,파프리카추출물,향미증진제,대두유,지미강화베이스분말,칠리추출물,실당근,청경채,햄맛후레이크,건양배추,건파,조미건조홍고추,,,,,,,,,,,,,
5,RCPB0211,큰컵 불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,감칠맛베이스,정백당,태양초고추장,볶음면조미분말,맛베이스에스,감자전분,정제염,치킨향분말,호화미분,마늘분말,삼양간장본,물엿,대두유,마늘,양파,청양고추시즈닝분말,탈색칠리추출물,향미증진제,파프리카추출물,변성전분,지미강화베이스분말,후추분,잔탄검,마늘맛오일,스테비올배당체,유산균발효분말,볶음참깨,건파,구운김후레이크,조미건조홍고추,,,,,,
6,RCPB0210,큰컵 미트스파게티 불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,토마토게찹,정백당,감칠맛베이스,굴소스티케이,비프추출물,양파,대두유,치킨향분말,혼합치즈분말,모짜렐라치즈분말,토마토분말,버터시즈닝분말,매운치즈소스,하바네로맛시즈닝,정제염,파슬리후레이크,파프리카추출물,향미증진제,탈색칠리추출물,변성전분,후추분,바질분말,오레가노분말,치킨카레맛베이스,유산균발효분말,조미비프맛후레이크,,,,,,,,,,
7,RCPN0101,큰컵 나가사끼짬뽕,면,소맥분,팜유,변성전분,감자전분,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,짬뽕육수베이스,정제염,정백당,청양고추시즈닝분말,돈골농축액분말,볶음짬뽕베이스,새우엑기스분말,채소풍미유분말,오징어조미분말,조미맛분,홍합엑기스분말,지미강화육수분말,하바네로맛시즈닝,향미증진제,짬뽕향미유,간장조미분말,쌀가루,참깨버터분말,참깨분말,후추분말,채소풍미유,매운조미고추맛분,건양배추,실당근,동결건조오징어,건파,조미건조홍고추,,,,,,,,,,
8,RCPB0209,큰컵 까르보불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,"토코페롤혼합분말에스{덱스트린, d-토코페롤(혼합형), 시클로덱스트린, 유화용전분믹스}",비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정백당,혼합전지분유,삼양간장본,크림맛분말,정제수,그릴치킨농축액,치킨향분말,하바네로맛시즈닝,정제염,변성전분,대두유,모짜렐라치즈분말,버터시즈닝분말,양파,고추분,고추씨향미유,맛베이스에스,매운고추베이스분말,마늘,파슬리후레이크,지미강화육수분말,후추분,마늘분말,파프리카추출물,탈색칠리추출물,치킨카레맛베이스,유산균발효분말,,,,,,,,,,
9,RCPS0602,컵 삼양라면 오리지널,면,소맥분,팜유,변성전분,정제염,미감에스유,생장,양파엑기스,면류첨가알칼리제,구아검,카로틴베이스,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제염,정백당,혼합양념베이스,맛조아베이스,맛베이스에스,양념간장분,조미맛분,장수베이스,팜유,마늘분말,향미증진제,고추분,볶음조미소맥분,혼합전지분유,매운조미고추맛분,후추분,돈육풍미분말,이스트엑기스분말,혼합양념분말,파프리카추출물,햄맛후레이크,건파,계란지단,동결건조당근,,,,,,,,,,,,,
10,RCPB0207,컵 불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,삼양간장본,정백당,그릴치킨농축액,치킨향분말,하바네로맛시즈닝,대두유,양파,고추분,고추씨향미유,맛베이스에스,매운고추베이스분말,마늘,지미강화육수분말,변성전분,탈색칠리추출물,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,볶음참깨,구운김후레이크,,,,,,,,,,,,,,,
11,RCPB0206,컵 까르보불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,"토코페롤혼합분말에스{덱스트린,d-토코페롤,시클로덱스트린,유화용전분믹스}",비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정백당,혼합전지분유,삼양간장본,크림맛분말,정제수,그릴치킨농축액,치킨향분말,하바네로맛시즈닝,변성전분,대두유,정제염,모짜렐라치즈분말,버터시즈닝분말,양파,고추분,고추씨향미유,맛베이스에스,매운고추베이스분말,마늘,파슬리후레이크,지미강화육수분말,후추분,마늘분말,파프리카추출물,탈색칠리추출물,치킨카레맛베이스,유산균발효분말,,,,,,,,,,
12,RBJB0208,크림까르보불닭볶음면,면,소맥분,변성전분,팜유,정제염,미감에스유,면류첨가알칼리제,구아검,"토코페롤혼합분말에스{덱스트린,d-토코페롤,시클로덱스트린,유화용전분믹스}",비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,혼합전지분유,정백당,매운치즈소스,그릴치킨농축액,치킨향분말,크림맛분말,정제염,대두유,하바네로맛시즈닝,크림치즈탕시즈닝,양파,모짜렐라치즈분말,맛베이스에스,매운고추베이스분말,마늘,버터시즈닝분말,혼합치즈분말,고추씨향미유,변성전분,지미강화육수분말,파슬리후레이크,탈색칠리추출물,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,,,,,,,,,,
13,RCPB0211,큰컵 불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,삼양간장본,정백당,그릴치킨농축액,치킨향분말,대두유,하바네로맛시즈닝,양파,고추분,고추씨향미유,맛베이스에스,매운고추베이스분말,마늘,지미강화육수분말,변성전분,탈색칠리추출물,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,볶음참깨,구운김후레이크,,,,,,,,,,,,,,,
14,RCPB0214,큰컵 쫄볶이 불닭볶음면,면,변성전분,소맥분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,녹차풍미유,비타민B2,구연산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정백당,정제수,태양초고추장,삼양간장본,그릴치킨농축액,고과당,하바네로맛시즈닝,대두유,치킨향분말,매운고추베이스분말,마늘,변성전분,양파,파프리카추출물,탈색칠리추출물,정제염,후추분,잔탄검,유산균발효분말,별미튀김,,,,,,,,,,,,,,,,,
15,RCPB0213,큰컵 짜장불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,양파엑기스,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,춘장,정백당,삼양간장본,양파,대두유,혼합전지분유,그릴치킨농축액,치킨향분말,모짜렐라치즈분말,하바네로맛시즈닝,매운고추베이스분말,크림맛분말,변성전분,카라멜색소,맛베이스에스,마늘,버터시즈닝분말,정제염,지미강화육수분말,조미콩단백분,탈색칠리추출물,식물성크림분말,짜장분말,파프리카추출물,양파분,고과당,마늘분말,향미증진제,후추분,신미제,유산균발효분말,건당근,건양배추,양파후레이크,조미비프맛후레이크,동결건조완두콩
16,RBJB0217,핵불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,면류첨가알칼리제,구아검,녹차풍미유,비타민B2,구연산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,삼양간장본,정백당,그릴농축액,치킨향분말,하바네로맛시즈닝,매운고추베이스분말,대두유,양파,탈색칠리추출물,마늘,고추씨향미유,변성전분,지미강화육수분말,고추분,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,볶음참깨,구운김후레이크,,,,,,,,,,,,,,,,
17,RBJB0205,치즈불닭볶음면,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,면류첨가알칼리제,구아검,비타민B2,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,매운치즈소스,삼양간장본,정백당,치킨향분말,대두유,하바네로맛시즈닝,양파,맛베이스에스,매운고추베이스분말,마늘,지미강화육수분말,변성전분,고추분,탈색칠리추출물,파프리카추출물,후추분,치킨카레맛베이스,유산균발효분말,모짜렐라치즈분말,볶음참깨,구운김후레이크,,,,,,,,,,,,,,,
18,RBJJ1600,짜짜로니,면,소맥분,변성전분,팜유,활성소맥글루텐,정제염,미감에스유,면류첨가알칼리제,구아검,구연산,녹차풍미유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정제수,"춘장{소맥분, 카라멜, 대두, 정제소금, 알파탈지대두분}",양파,정백당,짜장분말,대두유,말토덱스트린,카라멜색소,숯불맛분말,정제염,조미사골풍미분,식물성크림분말,양파분,압착올리브유,조미콩단백분,고과당,맛베이스에스,향미증진제,신미제,이스트엑기스분말,유산균발효분말,조미콩단백,양파후레이크,건양배추,동결건조완두콩,,,,,,,,,,,,
19,RBJS0700,삼양비빔면,면,소맥분,변성전분,팜유,정제염,미감에스유,면류첨가알칼리제,구아검,파프리카추출물,녹차풍미유,구연산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,정백당,고과당,태양초고추장,사과농축액,정제수,발효식초,감칠맛베이스,정제염,고춧가루,배농축액,마늘,아카시아꿀,변성전분,맛베이스에스,삼양간장본,파프리카추출물,매실농축액,DL-사과산,매운조미고추맛분,김후레이크,스테비올배당체,유산균발효분말,,,,,,,,,,,,,,,
20,RBJS0601,삼양라면 오리지널,면,소맥분,변성전분,팜유,정제염,미감에스유,면류첨가알칼리제,구아검,양파엑기스,스프플레이버,녹차풍미유,비타민B2,구연산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스프류,부대찌개양념베이스,정제염,정백당,표고버섯맛분말,효모추출물,식물성간장분말,맛베이스에스,청양고추시즈닝분말,볶음양념분말,흑후추분말,고춧가루,매운조미고추맛분,팜유,호화미분,혼합전지분유,향미증진제,마늘맛오일,파프리카추출물,DL-사과산,"분말카라멜(카라멜색소,말토덱스트린)",건청경채후레이크,건파,조미비프맛후레이크,햄맛후레이크,건당근후레이크,건양배추후레이크,,,,,,,,,,,