id,F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
1,DHDB0300,비타파워,180,44,0,0,11,11,26,0,0,0
2,DHDD0300,데일리C 레몬워터,500,104,0,0,26,26,40,0,0,0
3,DTSG1300,깨수깡,160,85,0,0,21,21,15,0,0,0
4,DHDG0402,게토레이 오렌지,600,145,0,0.1,35,35,270,0,0,0
5,DHDG0401,게토레이 블루볼트,600,140,0,0,35,35,260,0,0,0
6,DHDG0400,게토레이 레몬,600,160,0,0,40,39,300,0,0,0
7,DHDE0100,이프로 부족할때 복숭아,240,65,0,0,16,16,10,0,0,0
8,DTSH0101,핫식스 팬시캔디,250,60,0,0,15,15,75,0,0,0
9,DTSH0100,핫식스,250,115,0,0,29,29,75,0,0,0
10,DHDS0900,솔의눈,240,75,0,0,19,19,30,0,0,0
11,DATH0600,황금보리,500,0,0,0,0,0,35,0,0,0
12,DATC0300,초가을우엉차,500,10,0,0,0,0,40,0,0,0
13,DATE2500,옥수수수염차,500,0,0,0,0,0,15,0,0,0
14,DATE0400,아침헛개,500,5,0,0,0,0,40,0,0,0
15,DATS1600,실론티,240,72,0,0,17,14,5,0,0,0
16,DATL0300,립톤 밀크티,240,85,2,2,15,13,85,5,1.4,0
17,DATL0301,립톤 아이스티 복숭아,240,70,0,0,18,18,10,0,0,0
18,DACK0503,칸타타 카라멜마키아토,275,120,3,2,23,23,190,6.5,1.2,0
19,DACK0508,칸타타 프리미엄 라떼,275,122,2,2,24,21,155,5,1,0
20,DACK0502,칸타타 스위트 아메리카노,275,50,0,0,12,12,130,0,0,0