id,F_code,product,section,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47,badadd_cd_id
1,DHDB0300,비타파워,전체,정제수,기타과당,비타민C,구연산,합성향료(드링크향),구연산삼나트륨,효소처리스테비아,타우린,수크랄로스,비타민B2인산에스테르나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,DHDD0300,데일리C 레몬워터,전체,정제수,기타과당,비타민C,레몬청징농축액,합성향료(레몬향),구연산,구연사Na,천연향료,수크랄로스,효소처리루틴,홍화황색소,히알루론산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,DTSG1300,깨수깡,전체,정제수,기타과당,황칠해조류복합추출농축액,이산화탄소,벌꿀,헛개나무열매추출농축액,감귤농축액,구연산,시클로덱스트린시럽,합성향료(오렌지향),타우린,합성향료(유자향),효소처리루틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4,DHDG0402,게토레이 오렌지,전체,정제수,설탕,포도당,"혼합제제(구연산삼나트륨, 제일인산칼륨, 정제소금)",구연산,DL-사과산,"혼합제제(글리세린, 정제수, 아라비아검, D-소비톨, 유화제, 야자유, 주정)",합성향료(레몬향),비타민C,홍화황색소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5,DHDG0401,게토레이 블루볼트,전체,정제수,설탕,포도당,"혼합제제(구연산삼나트륨, 제일인산칼륨, 정제소금)",구연산,"혼합제제(프로필렌글리콜, 라즈베리추출물, 젖산, 말톨, 아세트알데히드, 정제수)","혼합제제(프로필렌글리콜, 변성전분, 유화제, 구연산, 정제수)","혼합제제(커피추출물, 프로필렌글리콜, 구연산, 정제수)",식용색소청색1호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6,DHDG0400,게토레이 레몬,전체,정제수,설탕,포도당,"혼합제제(구연산삼나트륨, 제일인산칼륨, 정제소금)",구연산,DL-사과산,"혼합제제(글리세린, 정제수, 아라비아검, D-소비톨, 유화제, 야자유, 주정)",합성향료(레몬향),비타민C,홍화황색소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7,DHDE0100,이프로 부족할때 복숭아,전체,정제수,기타과당,복숭아청징농축액,구연산,합성향료(복숭아향),구연산삼나트륨,효소처리루틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
8,DTSH0101,핫식스 팬시캔디,전체,정제수,설탕,이산화탄소,구연산,타우린,과라나추출물,구연산삼나트륨,합성향료,당근추출액,이노시톨,카페인,수크랄로스,"혼합제제(L-이소로이신, L-발린, L-로이신)",효소처리루틴,니코틴산아미드, 스테비올배당체,비타민B6염산염,판토텐산칼슘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,DTSH0100,핫식스,전체,정제수,기타과당,이산화탄소,과라나추출물,타우린,구연산,구연산삼나트륨,비타민C,가시오가피추출농축액,이노시톨,홍삼농축액,합성향료(혼합과일향),"혼합제제(L-이소로이신, L-발린, L-로이신)",홍차추출분말,"혼합제제(니코틴산아미드, 비타민B6염산염, 판토텐산칼슘, 비타민B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
10,DHDS0900,솔의눈,전체,정제수,백설탕,산도조절제,솔쌀추출농축액,포도당,비타민C,합성향료(솔싹향),치자청색소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
11,DATH0600,황금보리,전체,정제수,보리혼합추출액,보리농축액,탄산수소나트륨,L-아스코브산나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
12,DATC0300,초가을우엉차,전체,정제수,볶은우엉추출액,폴리덱스트로스,L-아스코르빈산나트륨,탄산수소나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
13,DATE2500,옥수수수염차,전체,정제수,옥수수현미혼합추출액,합성향료(현미향),L-아스코브산나트륨,탄산수소나트륨,옥수수수염추출농축액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
14,DATE0400,아침헛개,전체,정제수,헛개나무열매추출농축액,칡즙농축액,L-아스코브산나트륨,탄산수소나트륨,합성향료(혼합차향),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
15,DATS1600,실론티,전체,정제수,홍차추출액,설탕,구연산,"합성향료(레몬향, 홍차향)",레몬청징농축액,홍차추출분말,비타민C,구연산삼나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
16,DATL0300,립톤 밀크티,전체,정제수,우유,설탕,홍차추출분말,시트러스화이버,유화제,탄산수소나트륨,말토덱스트린,비타민C,합성향료(밀크티향),변성전분,스테비올배당체,팜유,올레인산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
17,DATL0301,립톤 아이스티 복숭아,전체,정제수,설탕,구연산,홍차추출분말,말토덱스트린,비타민C,복숭아과즙분말,변성전분,트리아세틴,합성향료(복숭아향),프로필렌글리콜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
18,DACK0503,칸타타 카라멜마키아토,전체,정제수,칸타타원두커피추출액,우유,설탕,혼합분유,전지분유,커피추출농축액,탄산수소나트륨,합성향료(커피향),유화제,카라멜시럽,L-아스코브산나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
19,DACK0508,칸타타 프리미엄 라떼,전체,정제수,칸타타원두커피추출액,우유,설탕,혼합분유,탄산수소나트륨,"합성향료(커피향, 우유향)",유화제,L-아스코브산나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
20,DACK0502,칸타타 스위트 아메리카노,전체,정제수,칸타타원두커피추출액,설탕,합성향료(커피향),탄산수소나트륨,L-아스코브산나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20