F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
DHDB0100,Premium鍮_500濡__대━,120,55,0,0,14,13,30,0,0,0
RCPE3002,媛곗_ 곕___猿,110,490,8,20,70,4,1580,0,10,0
SGJG0100,媛__源,30,150,2,6,22,1.6,190,0,0,0
RBJG0200,媛__硫,117,505,11,17,77,4,1750,0,9,0
SGJG0300,媛___꺽몃_,96,403,2,7,83,5,760,3,1.4,0
DHDG0400,寃____ _が,600,160,0,0,40,39,300,0,0,0
DHDG0401,寃____ 釉_（蹂쇳_,600,140,0,0,35,35,260,0,0,0
DHDG0402,寃____ ㅻ_吏,600,145,0,0.1,35,35,270,0,0,0
SGJG0500,怨_뎄留_묀,30,150,1,7,21,6,130,0,0,0
SGJG0600,怨__諛 蹂띠___,40,186,3,6,30,4,280,0,3.1,0
SGJG0700,怨__誘,35,186,2,10,22,9,110,3,0,0
RCPG0800,怨듯_異 쇱_吏щ_而,110,505,9,22,68,3,1690,15,8,0
DATG0900,愿__ 異__,150,40,0,0,16,16,50,0,0,0
DHDG0901,愿__ 蹂듬_,100,55,0.7,0,13,13,15,0,0,0
DATG0902,愿__ ____,120,70,0,0,17,17,40,0,0,0
DATG0903,愿__ __怨⑤_,100,50,0.7,0,12,10,40,0,0,0
DHDG0904,愿__ __猷⑦_10 Lu-10,100,50,0,0,13,11,10,0,0,0
DATG0905,愿__ 吏__,100,50,0.7,0,11,10,55,0,0,0
DHDG0906,愿__ __轅D,170,105,0.7,0,25,25,10,0,0,0
SBSG1000,援ъ_媛__,27,130,1,6,19,2,210,0,2.9,0
RBJG1100,源移__硫,120,520,10,16,84,5,1730,0,8,0
RCPG1101,源移_㈃,105,450,9,14,72,4,1440,0,7,0
RCPG1200,源移__諛_㈃,86,380,7,14,56,5,1520,0,7,0
RBJB0200,源_Ⅴ蹂대_낭_㈃,130,550,8,20,84,5,1330,0,10,0
DTSG1300,源⑥_源,160,85,0,0,21,21,15,0,0,0
SGJG1400,瑗ш_肄 怨__ 留,30,180,2,11,18,2,130,0,3.5,0
SGJG1401,瑗ш_肄_뎔μ___,30,165,2,9,19,2,170,0,0,0
SGJG1402,瑗ш_肄_ℓ肄ㅻ_肄ㅽ_留,100,570,5,35,59,7,590,0,12,0.5
SGJG1500,瑗щ_移 ъ숴 肄⑷猷 몄_誘몃_,30,172,2,12,14,4,110,0,4.9,0.1
SGJG1501,瑗щ_移 肄____,30,175,1,11,18,2,210,0,4.1,0
SGJG1600,轅苑_같湲,30,150,0.7,7,21,8,75,0,0,0.3
RBJN0100,_щ_吏щ_,115,475,10,13,80,4,1670,0,6,0
DTSN0200,____대_,100,0,0,0,0,0,20,0,0,0
SGJD0100,_由ы_쇱___,30,145,2,7,19,1.8,140,0,0,0
SGJE0200,__ ъ숴__ 諛__댁_ ____,100,495,11,24,57,25,240,5,12,0
SCKM0100,__ 而ㅼ怨 留__댁_ 留___,44,220,2,12,26,11,120,10,6,0.5
DTSD0200,곕__ _が,250,115,0,0,29,29,0,0,0,0
DTSD0201,곕__ 蹂듭_,250,120,0,0,30,30,0,0,0,0
DTSD0202,곕__ __,250,100,0,0,25,25,0,0,0,0
DTSD0203,곕__ ㅻ_吏,250,105,0,0,26,26,0,0,0,0
DTSD0204,곕__ _そ,340,145,0,0,36,35,0,0,0,0
DTSD0205,곕__ 泥_,250,85,0,0,21,21,80,0,0,0
DHDD0300,곗_由_ _が__,500,104,0,0,26,26,40,0,0,0
DATD0400,곗_ 濡__ 諛ы_,200,65,1.67,1.67,11.67,24,0,0,0,0
DGYD0500,대_ 멸린멸린곗_,300,230,7,5,39,39,170,25,3.2,0
DGYD0501,대_ 濡__諛ы_,250,210,4,7,33,33,90,10,6,0
DGYD0502,대_ 紐⑤__━쇱_,310,186,10,6,22,17,140,20,3.7,0
DACD0503,대_ 誘쇳_쇰_,310,210,5,6,34,34,230,30,4.7,0
DGYD0504,대_ 誘쇳_珥__곗_,310,240,6,6,41,40,160,25,5,0
DGYD0505,대_ 諛__諛__곗_,300,225,6,7,35,31,185,20,4.5,0
DGYD0506,대_ 珥__珥__곗_,300,335,7,10,54,50,210,30,7,0
DACD0507,대_ 而ㅽ_而ㅽ_,300,220,5,6,36,31,285,20,5,0
DFDD0600,몃が 留ㅼ_,200,115,0,0,28,28,25,0,0,0
DFDD0601,몃が __,200,115,1,0,21,20,20,0,0,0
DFDD0602,몃が ㅻ_吏,200,90,2,0,21,15,35,0,0,0
DFDD0603,몃が __,200,100,2,0,23,18,140,0,0,0
DFDD0604,몃が щ_,200,105,0,0,26,23,25,0,0,0
RBJB0201,__! 遺__鍮__硫,140,560,10,19,87,10,1380,0,9,0
DATD0700,__吏 곕_ 뱀감留 댁_,200,0,0,0,0,0,18.29,0,0,0
SGJE0300,멸린⑦_,50,250,3,11,34,14,85,3,0,0
SCKD0800,멸린쇱_,100,390,5,14,61,29,150,35,0,0.3
SGJD0900,_쉘__,31,160,2.3,8,20,7,70,0,4.2,0
RBJB0202,쇱_ 遺__蹂띠_硫,110,375,9,4.4,75,6,1280,0,1,0
DACL0100,__鍮 洹몃 쇰_,500,170,4,1.9,34,34,210,7,1.5,0
DACL0101,__鍮 洹몃 ㅼ_利__,500,125,0,0,30,30,105,0,0,0
DACL0102,__鍮 留__,175,55,1,0,12,12,85,0,0,0
DACL0103,__鍮 紐⑥뭅쇰_,175,65,1,0,15,15,75,0,0,0
SSNL0200,濡_ __명_由쇨_,53,270,2.2,13,36,17,160,0,6.7,0.5
SGJL0201,濡_____,53,270,2.2,13,36,15,115,0,6.9,0.3
DATL0300,由쏀_ 諛ы_,240,85,2,2,15,13,85,5,1.4,0
DATL0301,由쏀_ __ㅽ_ 蹂듭_,240,70,0,0,18,18,10,0,0,0
DTSM0200,留__대,250,120,0,0,30,30,6,0,0,0
SGJM0300,留__,30,150,3,7,19,7,15,0,1.5,0
RBJM0400,留____硫,115,480,9,15,77,4,1720,0,8,0
RBJM0500,留_㎚戮,130,575,9,21,87,6,1780,10,9,0
SSNS0100,留ㅼ___源,30,150,2,7,20,2.1,220,0.9,0,0
DACM0600,留μ_고_곗_ 깃移댄_ 移댄_移__,281,175,4,3.4,32,32,110,10,2.3,0
DACM0700,留μ_ ____ T.O.P  釉__,275,48,0,0,12,11,35,0,0,0
DACM0701,留μ_ ____ T.O.P 留__ 쇰_,12,50,0,1.4,9,5.7,5,0,1.4,0
DACM0702,留μ_ ____ T.O.P ㅼ_ __由ъ뭅,275,109,2.2,3.1,18,18,50,10,2.2,0
SSNS0200,紐삳_由щ_ _㎟,100,528,5,28,64,22,290,5,9,0
RBJM0800,臾댄_留__硫,122,510,10,15,84,5,1720,0,8,0
RCPM0801,臾댄_留__硫댄_щ_,112,495,9,17,76,4,1570,0,8,0
SGJM0900,誘몄_釉__,42,208,3,8,31,14,120,0,4,0
RBJB0203,誘명_ㅽ_寃__ 遺__蹂띠_硫,140,555,15,16,85,10,1570,0,8,0
DTSM1000,諛ㅼ_,250,130,0,0,31,31,16,0,0,0
SGJB0400,諛____,30,125,1,1.9,26,13,40,0,0,0
SGJB0600,諛곕같,40,192,2,8,28,13,160,10,4.9,0
RBJB0800,諛고___鍮_㈃,137,585,9,24,83,16,1350,5,11,0
SCKB1000,踰__,26.34,125,2,4.3,20,8,80,20,3.1,0.1
SGJB1200,踰____,30,155,1,8,20,2.1,190,0,0,0.3
SSNB1400,蹂_鍮__,30,140,3,5,22,5,95,0,2,0
RBJB1600,蹂닿蹂닿遺李__硫,127,545,11,17,87,5,1850,5,8,0
RCPB1601,蹂닿蹂닿遺李__곗_諛_㈃,109,480,9,16,75,5,1690,5,8,0
RBJN0300,蹂띠__뎄由,137,610,12,24,87,9,1280,3,8,0
RCPN0301,蹂띠__뎄由ы_щ_硫,110,515,10,22,69,6,1090,3,9,0
RCPJ0100,蹂띠_吏_㎚戮,110,450,9,16,67,8,1240,10,7,0
RBJB1700,遺李__쇰㈃,130,515,14,15,81,7,1790,5,7,0
RBJB0204,遺__蹂띠_硫,140,530,12,16,85,7,1280,0,8,0
DHDB0101,鍮_500,100,50,0,0,12,11,30,0,0,0
DHDB0102,鍮_500 A.C.E,100,50,0,0,12,11,30,0,0,0
DHDB0103,鍮_500移쇱_,100,50,0,0,12,11,30,0,0,0
DHDB0300,鍮___,180,44,0,0,11,11,26,0,0,0
RCPB0500,鍮3 蹂띠_源移_㈃,154,560,10,27,69,4,1980,0,14,0
SBSB0700,鍮__肄__,50,235,3,11,31,8,130,0,4.5,0
SGJB0900,鍮____移 __대_移__留,30,175,2,12,15,2,300,0,4,0
SSNB1100,鍮__(鍮____곗묩),60,360,4,26,28,3,360,3,0,0
SGJB1300,六μ_由,30,39.15,0.36,0.9,7.47,1.14,15.3,0,0.36,0
SGJB1500,戮__利_瑜댄_,100,504,7,24,65,20,510,15,15,0
SSNS0300,щ_諛,30,170,1,11,17,4,40,0,4,0
SSNS0301,щ_諛 媛_┃踰__留,30,170,1,11,17,3,170,0,4.4,0
RBJS0400,щ━怨고_硫,110,490,12,16,74,3,1700,0,8,0
RCPS0401,щ━怨고_곗_諛_㈃,111,490,8,17,76,3,1590,0,8,0
SGJS0500,щ_,35,170,2,7,25,10,65,3,0,0
RBJJ0204,ъ_吏__寃__,137,600,11,21,92,8,1080,0,8,0
RCPJ0201,ъ_吏__寃__곗_諛_㈃,115,535,9,20,80,9,1010,0,9,0
RBJS0600,쇱_쇰㈃ 留ㅼ_留,120,515,9,18,79,5,1780,0,9,0
RBJS0601,쇱_쇰㈃ ㅻ━吏,120,500,10,16,79,5,1780,0,8,0
RBJS0700,쇱_鍮__硫,135,560,9,20,86,13,1390,0,10,0
SSNS0101,__源,30,150,2,8,18,1.8,200,0,0,0
RCPS0800,____щ_硫,115,500,10,18,77,5,1590,10,9,0
DHDS0900,__,240,75,0,0,19,19,30,0,0,0
RBJS1000,__湲곕뎅쇰㈃,115,450,11,16,65,2,1800,5,8,0
RBJN0302,__ _뎄由,120,500,9,15,82,4,1480,3,8,0
RBJS1100,ㅻ_硫,108,475,10,17,70,4,1710,0,9,0
RCPS1101,ㅻ_硫 Cup,62,285,5,12,39,3,1200,0,5,0
SGJS1200,ㅼ_移 蹂띠_怨__λ_,60,347,3,23,32,2,220,0,0,0
DHDS1300,ㅽ踰__ _렇__ 珥__由 __,275,185,4,6,29,29,160,17,3.9,0
DACS1301,ㅽ踰__ __ __댁_ 濡__ 釉__ 而ㅽ_,275,6,0,0.3,0,0,25,0,0,0
DACS1302,ㅽ踰__ __몄_ 紐⑥뭅,281,160,5,3.3,27,27,120,10,2.1,0
DACS1303,ㅽ踰__ __몄_ 移대_硫__,281,175,5,3.2,32,31,110,10,2,0
DACS1304,ㅽ踰__ __몄_ 而ㅽ_,281,175,5,3.2,32,31,110,10,2,0
SGJS1400,__ λ_瑜 곗___ 〓낭 珥__ 留__ __ъ_,30,160,1,9,19,10,150,0,0,0
RBJS1500,__硫,120,500,10,16,79,4,1790,0,9,0
RBJS1501,__硫닿굔硫,97,350,9,4.6,68,4,1790,0,1.4,0
RBJS1502,__硫대낭_㈃,131,600,10,25,84,9,1390,5,10,0
RCPS1503,__硫대낭_㈃곗_諛,103,465,9,17,69,9,1400,5,7,0
RBJS1504,__硫대_,134,575,12,18,91,8,1780,10,9,0
RCPS1505,__硫대___諛,101,445,9,15,68,5,1530,10,7,0
RCPS1506,__硫댁뻐,65,300,5,10,47,3,1290,0,5,0
RCPS1507,__硫댄_щ_,114,490,9,17,75,6,1550,0,8,0
DATS1600,ㅻ_,240,72,0,0,17,14,5,0,0,0
SGJS0102,__源,30,150,2,7,20,1.9,170,3,0,0
DATE0400,_묠__,500,5,0,0,0,0,40,0,0,0
RBJE0500,___㈃,125,525,11,17,82,3,1790,0,9,0
SGJE0600,__곗묩,35,180,0.7,9,24,3,270,0,0,0
RBJN0303,듦렇由щ_援щ━,121,500,9,14,85,5,1690,3,8,0
RCPE0700,듦렇由ъ__뎄由ы_щ_硫,108,500,8,19,74,9,1230,3,8,0
SCAE0800,쇱_щ_而,30,45.9,0.63,2.25,5.76,0.77,45.9,0.03,1.17,0.01
RBJN0304,쇳_ _뎄由,120,490,8,14,83,5,1760,5,8,0
SBSE0900,__,30,168,2,9,18,2,150,0,0,0
RBJE1000,대_硫,120,510,11,16,80,4,1710,0,8,0
SGJE1100,__,32,160,2,8,20,3,200,0,0,0
SGJE1101,__ 蹂띠__留,32,160,2,8,20,3,190,0,4.2,0
SGJE1102,__移__洹몃___,32,164,2,8,21,3,190,0,0,0
SGJE1200,!媛__ 媛__洹몃___,30,166,1,10,18,0.7,170,0,3.7,0
SGJE1201,!媛__ 李_㉨ __諛____ㅻ_,30,135,0.7,7,17,4,160,0,2.9,0.1
RBJE1300,ㅻ_湲 ㅻ_듬㈃,120,505,10,16,80,4,1660,0,8,0
SBSE1400,ㅻ_ 移__,24,110,2,6,12,7,55,18,3.1,0.1
DHDE1500,ㅻ_ __,240,80,0,0,19,17,25,0,0,0
DHDE1501,ㅻ_ ㅻ━吏,240,75,0,0,18,16,20,0,0,0
DHDE1502,ㅻ_ 쇱_,240,75,0,0,18,17,20,0,0,0
DTSE1600,ㅻ ㅻ_吏,250,49,0,0,14,12,60,0,0,0
DTSE1601,ㅻ ____,200,55,0,0,14,14,15,0,0,0
DTSE1700,ㅻ_吏,240,100,0,0,25,24,6,0,0,0
DTSE1800,ㅻ__C,120,70,0,0,17,17,0,0,0,0
RCPE1900,ㅻえ由 源移__媛__硫,150,485,9,20,67,2,1870,4,11,0
RCPE1901,ㅻえ由щ李__쇰㈃,135,435,11,18,57,5,1770,9,8,0
RCPE1902,ㅻえ由ъ갭移__媛__硫,135,420,10,17,57,5,1790,5,8,0
SGJE2000,ㅼ_易,65,365,2,23,38,7,210,0,0,0
SGJE2100,ㅼ_대_肄,98,492,12,24,57,20,320,3,0,0
SGJE2200,ㅼ_댁_ 踰__援ъ_留,30,160,2,9,18,2,150,3,0,0.3
RBJE2300,ㅼ_댁㎚戮,124,510,10,15,84,6,1750,12,8,0
RCPE2301,ㅼ_댁㎚戮_뻐,67,290,6,9,46,5,1240,13,5,0
SGJE2400,μ__묀,370,370,3,20,45,13,330,0,0,0
DATE2500,μ___쇱감,500,0,0,0,0,0,15,0,0,0
RBJJ0200,щ━釉____,140,610,11,20,97,6,1180,0,8,0
SGJE2600,,76,377,5,17,51,13,390,0,8,0
SGJG0701,___갈蹂띠___留,56,247,4,7,42,6,390,0,3.6,0
SSNJ1701,_㎟援,90,155,2,8,19,4,65,0,0,0
RCPE2700,↔_μ_諛_㈃,86,375,7,15,53,4,1590,0,7,0
DHDE0100,댄_濡 遺議깊_ 蹂듭_,240,65,0,0,16,16,10,0,0,0
SGJE2800,몃__갈,30,150,2,7,20,0.7,220,0,0,0
RBJE2900,쇳_吏__硫,200,550,12,20,86,9,1160,5.2,10,0
SGJJ0300,_鍮 吏ℓ 留,40,230,2,16,19,0,90,0,0,0
SSNJ0400,__移_Ц대_,30,155,1.8,8,19,2,150,0,0,0
DFDJ0500,_＜щ_ 媛_랠щ_,100,30,0,0,8,8,5,0,0,0
SGJJ0600,__,50,255,3,12,33,3,540,2,6.5,0
SGJJ0601,____ 肄__곕_,37,195,3,10,23,7,250,0,5,0
DHDJ0700,__ 理몄___ __ CAN,175,90,2,0.9,18,18,70,5,0.6,0
SGJJ0800,議곗껌_낵,30,155,0.8,9,18,2.4,85,0,0,0
SSNJ0900,二_━,50,225,4,7,38,15,85,0,2.9,0
RBJJ1000,吏__硫(留ㅼ_留),120,500,12,16,77,4.6,1760,0,8,0
RBJJ1001,吏__硫(__留),120,500,12,16,77,4,1780,0,8,0
RCPJ1002,吏__硫_up留ㅼ_留,65,280,6,9,44,3,1140,0,3.5,0
RCPJ1003,吏__硫_up__留,65,280,7,9,43,3,1170,0,3.5,0
RBJJ1100,吏__鍮_㈃,156,625,11,23,98,15,1400,0,11,0
RBJJ1200,吏__吏__,135,540,13,16,86,7,1190,9,8,0
RBJJ1300,吏__,135,540,11,17,86,8,1050,5,8,0
RBJJ1400,吏__已_㈃,150,560,10,18,90,18,1250,0,9,0
RBJJ0101,吏_㎚戮,130,500,10,16,79,7,1780,18,7,0
RCPJ0102,吏_㎚戮 Cup,75,300,6,11,44,3,1140,10,3.7,0
RBJJ1500,吏__,134,605,10,22,92,8,1180,0,9,0
RBJJ1501,吏__留ㅼ_留,140,625,10,23,94,7,1250,0,10,0
RCPJ1502,吏__留ㅼ_留__щ_硫,104,470,7,18,70,6,1020,0,8,0
RCPJ1503,吏__곗_諛_㈃,105,495,9,19,72,9,990,0,8,0
RBJJ1600,吏__濡__,140,570,12,20,85,7,1190,0,9,0
RCPJ0202,吏__寃__踰__,70,315,6,10,50,6,850,3,4.6,0
RCPJ0203,吏__寃__곗_諛_㈃,123,550,10,19,84,9,1220,0,9,0
SSNJ1700,吏깃뎄,30,155,2,8,19,5,55,0,4,0
SSNJ1800,已__ 留ㅼ숴__,30,160,2,9,18,3,170,0,0,0
RCPC0100,李멸묠쇰㈃ Cup,65,285,6,10,43,2,1300,10,3.4,0
SCAC0200,李명__빱,100,450,9,13,74,0,740,15,7,0
DATC0300,珥____감,500,10,0,0,0,0,40,0,0,0
SGJC0400,珥__≪_,50,266,3,14,32,20,110,5,9,0
SGJC0500,珥__移⑹_,64,328,4,16,42,18,200,12,8,0.3
SGJC0600,珥____肄_묩,20,102,1,6,11,5,40,5,3.1,0.1
SGJC0700,理몄___,30,49.04,0.75,2.84,5.13,3.27,11.56,0.46,1.5,0.02
RBJB0205,移__遺__蹂띠_硫,140,550,13,18,84,7,1440,0,9,0
SGJC0800,移____,30,150,2,7,20,4,180,0,0,0
SGJC0900,移__,81,418,3,22,52,23,350,0,9,0
SGJC1000,移__ ㅻえㅻ_踰__留,82,480,5.5,29,49,2,470,0,13,3
SGJC1101,移__ㅻℓ肄ㅻ_肄ㅽ_留,100,580,7,34,62,2,380,0,0,0
SGJC1200,移__,90,440,6,22,55,30,200,30,14,0
SGJC1201,移__ __珥__,180,865,10,47,100,58,470,20,25,0.3
SGJC1202,移__ 곕_誘몄_,180,870,12,48,97,53,580,25,28,0.9
DTSC1300,移__ъ_,250,110,0,0,28,27,6,0,0,0
DTSC1301,移__ъ_ 蹂듭_,250,110,0,0,27,27,7,0,0,0
DTSC1302,移__ъ_ __,250,0,0,0,4,0,6,0,0,0
SGJK0100,移대_硫__ _쉘,30,150,2,6,22,7,65,0,0,0
SGJK0200,移댁_,23,105,1,6,12,8,35,40,3,0
SGJK0201,移댁_,23,102,1,6,11,6,40,28,2.6,0
SGJK0300,移댁뭅ㅻ_ㅽ_ ㅻ━⑥_ 源__ White cream,33,173,2,9,21,11,170,0,6,0
SGJK0400,移몄_由ъ_(肄__곕_),30,185,1,12,18,2,95,0,0,0
DACK0500,移명 _쉘щ┝쇰_,275,130,3,2.7,23,21,215,10,1.5,0
DACK0501,移명 쇰_由 移댄_쇰_,270,145,4.5,4,23,23,210,13,2.5,0
DACK0502,移명 ㅼ_ __由ъ뭅,275,50,0,0,12,12,130,0,0,0
DACK0503,移명 移대_硫__ㅼ_,275,120,3,2,23,23,190,6.5,1.2,0
DACK0504,移명 肄__쇰_댁_ 肄__釉_（ 쇰_,200,190,4,3.3,36,34,285,15,2,0
DACK0505,移명 肄__쇰_댁_ 肄__釉_（ 釉__,200,20,1,0,4,4,95,0,0,0
DACK0506,移명 肄__쇰_댁_ 肄__釉_（ ㅼ_몃_,200,80,1,0,19,19,123,0,0,0
DACK0507,移명 肄__釉_（ __쇰_,275,165,3,1.7,34,34,160,6,1,0
DACK0508,移명 _━誘몄_ 쇰_,275,122,2,2,24,21,155,5,1,0
DACK0600,而ㅽ_濡__ 紐⑥뭅쇰_,300,220,5,8,32,32,240,40,6,0.5
DACK0601,而ㅽ_濡__ ______,300,195,4,7,29,29,160,40,5,0.5
DACK0602,而ㅽ_濡__ 移댄_遊__,300,230,5,8,34,34,210,40,6,0.5
DTSK0700,而⑦___,250,100,0,0,24,24,85,0,0,0
RCPB0206,而 源_Ⅴ蹂대_낭_㈃,80,355,5,16,48,5,910,0,8,0
RCPB0207,而 遺__蹂띠_硫,70,280,6,10,42,6,630,0,5,0
RCPS0602,而 쇱_쇰㈃ ㅻ━吏,65,295,5,12,42,2,1160,0,6,0
RCPK0800,而듬_ 留ㅼ숴__,37.8,120,1,0,29,3,890,0,0,0
RCPK0801,而듬_ 곕_留,38.1,120,2,0.5,27,3,890,0,0,0
DHDK0900,肄__由ъ_ щ_,240,75,0,0,19,16,45,0,0,0
RCPK1000,肄__肄 쇰㈃蹂띠_,120,465,8,13,79,13,900,0,7,0
RCPK1001,肄__肄 ㅽ_寃__,120,475,9,14,78,9,780,0,7,0
RCPK1002,肄__肄 吏__蹂띠_,130,530,12,15,87,12,990,0,7,0
RCPK1003,肄__肄 吏__蹂띠_,120,535,11,19,80,9,870,0,8,0
RCPK1004,肄__肄 移__蹂띠_,95,430,9,16,63,6,1180,2.5,8,0
SGJK1100,肄__ щ┝移__,100,532,7,28,63,24,210,10,0,0
SGJK1200,荑__荑__ 媛_┃諛__몃_,16,76,1,2.7,12,2,140,1,1.6,0
SGJK1300,荑__ㅼ_ __,30,49.05,0.49,2.8,5.47,3.09,14.95,0.38,1.88,0.01
SGJK1301,荑__ㅼ_耳댄_,70,358,4,24,33,20,120,65,12,0
DAGK1400,荑⑦_ 蹂듭_,930,405,2,3,93,84,420,0,1,0
DAGK1401,荑⑦_ __,930,400,2,2.1,93,84,370,0,0.8,0
DAGK1402,荑⑦_ ____,930,405,2,3,93,84,370,0,1,0
SGJK1500,щ_댁_ 멸린,30,46.1,0.44,2.19,6.16,2.7,23.61,0.65,1.37,0.05
SGJK1501,щ_댁_ 珥__,30,46.18,0.52,2.22,6.02,2.25,26.44,0.28,1.37,0.05
SGJK1502,щ_댁_ щ┝,30,46.46,0.48,2.28,6.02,2.25,24.47,1.02,1.45,0.06
SGJK1600,щ_댁_ъ_,30,155,2,8,19,7,75,0,0,0
RBJB0208,щ┝源_Ⅴ蹂대_낭_㈃,140,555,10,18,88,11,1500,10,9,0
SGJE0301,щ┝⑦_,56,255,3,12,34,13,95,3,0,0
RBJJ0103,щ┝吏_㎚戮,130,545,9,21,82,6,1140,25,9,0
RCPB0209,곗뻐 源_Ⅴ蹂대_낭_㈃,105,470,7,21,63,7,1190,0,11,0
RCPN0101,곗뻐 _щ_吏щ_,105,445,9,15,69,4,1620,0,8,0
RCPB0210,곗뻐 誘명_ㅽ_寃__ 遺__蹂띠_硫,110,430,11,14,65,7,1200,0,7,0
RCPB0211,곗뻐 遺__蹂띠_硫,105,425,9,15,63,8,950,0,8,0
RCPB0212,곗뻐 遺__蹂띠__㈃,120,455,9,16,69,7,1500,0,8,0
RCPS0603,곗뻐 쇱_쇰㈃ 留ㅼ_留,110,485,10,17,73,2,1720,0,8,0
RCPS0604,곗뻐 쇱_쇰㈃ ㅻ━吏,110,470,9,15,75,4,1800,0,8,0
RCPB0213,곗뻐 吏__遺__蹂띠_硫,105,425,10,15,63,6,1000,2,7,0
RCPB0214,곗뻐 已_낭 遺__蹂띠_硫,120,485,9,19,69,12,1330,0,9,0
RCPB0215,곗뻐 移__遺__蹂띠_硫,105,430,9,16,63,5,1000,0,8,0
RCPB0216,곗뻐 щ┝源_Ⅴ蹂대_낭_㈃,120,480,10,17,72,10,1270,5,9,0
RCPT0100,源곕_곗_諛,111,515,9,21,73,8,1590,3,10,0
DTST0200,몃_鍮 _が,300,0,0,0,0,0,15,0,0,0
RBJT0300,__쇰㈃ 鍮④_,120,495,9,14,83,3,1650,3,6,0
RCPE3001,__ 源移____,110,470,8,17,71,4,1790,0,9,0
RCPE3000,__ __猿,110,475,9,17,71,4,1690,0,9,0
RBJT0301,__ __쇰㈃ 留ㅼ_源移,120,505,11,16,79,3,1780,0,6,0
RCPT0400,__源移____,86,395,6,16,57,2,1590,0,8,0
RBJT0500,__鍮__硫,130,525,9,19,80,12,1090,0,9,0
DTST0600,⑹_肄__,210,95,0,0,24,23,5,0,0,0
DTST0601,⑹_肄__ ___굅,210,0,0,0,0,0,36,0,0,0
SGJT0700,ъ_,30,140,1,4.7,23,1.2,190,0,0,0
DHDT0800,ъ뭅由ъ_⑦_,100,25,0,0,6,6,50,0,0,0
DHDT0801,ъ뭅由ъ_⑦_ 댁___,500,55,0,0,13,12,270,0,0,0
SGJT0900,ъ뭅移 ㅻ━吏,30,167,2,11,15,0.4,115,0,4.1,0.1
SGJT0901,ъ뭅移⑹___留,30,171,2,11,16,0.7,95,0,4.1,0.1
SGJT1000,ы_멸린,41,200,3,8,29,16,120,0,0,0
SGJT1100,ы__묩 ↔_μ_諛_㈃留,30,170,2,11,16,1,160,0,0,0
SGJT1200,__泥 __移대_硫__,30,125,1,7,14,8,150,2.1,0,0
DTSH0100,レ_,250,115,0,0,29,29,75,0,0,0
DTSH0101,レ_ ъ_罹__,250,60,0,0,15,15,75,0,0,0
RBJB0217,듬_낭_㈃,140,555,12,19,84,6,1450,0,9,0
SGJH0200,__踰__移,60,345,2,24,30,2,200,0,0,0
SGJH0300,__蹂 臾댁諛 곗_,46,260,4,17,23,15,100,40,0,0
DTSH0400,__釉_,100,55,0,0,15,10,10,0,0,0
SWFH0500,__명_,100,525,7,29,61,38,140,15,16,0
DATH0600,⑷_蹂대━,500,0,0,0,0,0,35,0,0,0
SGJH0700,__щ_由,28,125,1,7,15,9,50,16,3.4,0
SGJH0701,__щ_由 蹂듭_,28,127,1,7,15,10,35,19,2.9,0
SBSH0800,__移__대_湲,26,130,1,6,16,7,60,3,0,0
SBSH0801,__移__댁_怨,13,65,1,3,8,4,30,3,0,0
SBSH0802,__ 鍮__肄__,50,255,3,11,35,12,170,1,6,0
SSNJ1702,__吏깃뎄,115,160,2,8,20,7,110,0,4,0